Fid,Name_of_Monitoring_Location,Type_Water_Body,State_Name,"Temperature
",Dissolved_Oxygen_mgperL,pH,Conductivity _mhospercm,BOD_mgperL,NitrateN_NitriteN_mgperL,Fecal_Coliform_MPNper100ml,Total_Coliform_MPNper100ml,Label,results
239.255.255.250-10.42.0.1-1900-48057-17,"KOLLERU LAKE KOKKIRAYALANKA (V), KAILALUR (M)",LAKE,ANDHRA PRADESH,27.0,6.5,8.0,5160,3.2,3.6,21,210,1,1
10.42.0.211-10.42.0.1-36382-53-17,"KONDAKARLA-AAVA LAKE, PARAWADA PHARMA CITY, VISHAKHAPATNAM",LAKE,ANDHRA PRADESH,29.0,6.8,7.8,1179,4.6,3.56,23,240,0,0
203.205.158.63-10.42.0.151-80-34810-6,"PULICATE LAKE , NELLORE DIST",LAKE,ANDHRA PRADESH,24.0,6,8.2,56900,2.8,1.64,3,150,1,1
220.243.219.55-10.42.0.42-80-37086-6,"CHENGAMBAKAM TANK IN SRI CITY SEZ,
TIRUPATHI",TANK,ANDHRA PRADESH,29.0,6.2,7.9,476,2.5,2.3,365,549,0,0
172.217.12.170-10.42.0.42-443-40096-6,"ANNAMAYYA PROJECT ON CHEYYERU
RESERVOIR",Wetland,ANDHRA PRADESH,30.0,6.5,8.0,734,2.3,1,289,727,1,1
10.42.0.211-23.52.146.64-33393-443-6,ANUMANAPALLE CHERUVU,Wetland,ANDHRA PRADESH,23.0,7.5,9.0,320,2.2,1.79,4,150,0,0
172.217.10.67-10.42.0.151-443-52315-6,BRAMHASAGAR,Wetland,ANDHRA PRADESH,29.0,6.4,7.9,608,2.2,0.67,322,602,1,1
10.42.0.151-123.125.115.190-35010-80-6,DALI TANK,Wetland,ANDHRA PRADESH,31.0,7.3,8.5,18950,2.5,2.82,15,150,0,0
174.129.31.175-10.42.0.211-443-41085-6,GACCHAKAYALA PORA (LAGOON),Wetland,ANDHRA PRADESH,31.0,7.2,8.6,56900,3.6,2.86,15,120,1,1
172.217.11.14-10.42.0.211-443-48510-6,GANGINENI CHERUVU,Wetland,ANDHRA PRADESH,30.0,5.8,8.1,1326,3.5,4.51,659,1120,0,0
10.42.0.151-10.42.0.1-63501-53-17,INTERU SWAMPS,Wetland,ANDHRA PRADESH,26.0,7.5,7.9,26800,2.8,1.8,3,150,1,1
10.42.0.211-23.205.16.85-52452-80-6,KATTAMANCHI CHERUVU,Wetland,ANDHRA PRADESH,30.0,5.6,8.1,1303,3.2,2.91,525,1120,0,0
172.217.10.106-10.42.0.151-443-33506-6,KRISHNA MANGROVES,Wetland,ANDHRA PRADESH,28.0,6.2,8.0,34500,2.8,1.81,3,150,1,1
172.217.10.14-10.42.0.42-443-58558-6,MID PENNAR RESERVOIR,Wetland,ANDHRA PRADESH,27.0,6.3,7.9,560,1.7,2.57,376,659,0,0
